name,MS-SSIM,PSNR,category,quality,size
00000_1K_high_pipeline_1.png,0.985632,43.7606,pipeline_1,high,1K
00000_1K_high_pipeline_2.png,0.964631,35.3074,pipeline_2,high,1K
00000_1K_high_pipeline_3.png,0.978162,38.5516,pipeline_3,high,1K
00000_1K_high_pipeline_4.png,0.981851,41.8063,pipeline_4,high,1K
00000_1K_high_pipeline_5.png,0.987246,41.0248,pipeline_5,high,1K
00000_1K_high_pipeline_6.png,0.984813,43.5605,pipeline_6,high,1K
00000_1K_low_pipeline_1.png,0.973796,40.5732,pipeline_1,low,1K
00000_1K_low_pipeline_2.png,0.976783,39.1154,pipeline_2,low,1K
00000_1K_low_pipeline_3.png,0.951674,35.389,pipeline_3,low,1K
00000_1K_low_pipeline_4.png,0.976957,40.374,pipeline_4,low,1K
00000_1K_low_pipeline_5.png,0.981579,39.4802,pipeline_5,low,1K
00000_1K_low_pipeline_6.png,0.94308,34.7002,pipeline_6,low,1K
00000_1K_medium_pipeline_1.png,0.977546,41.6731,pipeline_1,medium,1K
00000_1K_medium_pipeline_2.png,0.978784,39.4588,pipeline_2,medium,1K
00000_1K_medium_pipeline_3.png,0.960253,36.4463,pipeline_3,medium,1K
00000_1K_medium_pipeline_4.png,0.979681,41.0587,pipeline_4,medium,1K
00000_1K_medium_pipeline_5.png,0.984123,40.1334,pipeline_5,medium,1K
00000_1K_medium_pipeline_6.png,0.976904,41.4691,pipeline_6,medium,1K
00000_SD_high_pipeline_1.png,0.985444,43.6127,pipeline_1,high,SD
00000_SD_high_pipeline_2.png,0.964901,34.9178,pipeline_2,high,SD
00000_SD_high_pipeline_3.png,0.988822,43.5285,pipeline_3,high,SD
00000_SD_high_pipeline_4.png,0.982107,41.6758,pipeline_4,high,SD
00000_SD_high_pipeline_5.png,0.987405,40.9111,pipeline_5,high,SD
00000_SD_high_pipeline_6.png,0.98476,43.4407,pipeline_6,high,SD
00000_SD_low_pipeline_1.png,0.972748,40.3589,pipeline_1,low,SD
00000_SD_low_pipeline_2.png,0.976504,39.0774,pipeline_2,low,SD
00000_SD_low_pipeline_3.png,0.980129,40.8949,pipeline_3,low,SD
00000_SD_low_pipeline_4.png,0.948403,34.651,pipeline_4,low,SD
00000_SD_low_pipeline_5.png,0.982033,39.1349,pipeline_5,low,SD
00000_SD_low_pipeline_6.png,0.944615,34.3325,pipeline_6,low,SD
00000_SD_medium_pipeline_1.png,0.977242,41.5588,pipeline_1,medium,SD
00000_SD_medium_pipeline_2.png,0.957111,34.0533,pipeline_2,medium,SD
00000_SD_medium_pipeline_3.png,0.963595,36.2718,pipeline_3,medium,SD
00000_SD_medium_pipeline_4.png,0.952847,35.2098,pipeline_4,medium,SD
00000_SD_medium_pipeline_5.png,0.984362,40.2189,pipeline_5,medium,SD
00000_SD_medium_pipeline_6.png,0.976611,41.4406,pipeline_6,medium,SD
00001_1K_high_pipeline_1.png,0.985959,43.8471,pipeline_1,high,1K
00001_1K_high_pipeline_2.png,0.964637,35.2825,pipeline_2,high,1K
00001_1K_high_pipeline_3.png,0.988736,43.6641,pipeline_3,high,1K
00001_1K_high_pipeline_4.png,0.982138,41.7608,pipeline_4,high,1K
00001_1K_high_pipeline_5.png,0.986979,41.0315,pipeline_5,high,1K
00001_1K_high_pipeline_6.png,0.974919,38.4082,pipeline_6,high,1K
00001_1K_low_pipeline_1.png,0.973819,40.6542,pipeline_1,low,1K
00001_1K_low_pipeline_2.png,0.977889,39.2498,pipeline_2,low,1K
00001_1K_low_pipeline_3.png,0.952929,35.385,pipeline_3,low,1K
00001_1K_low_pipeline_4.png,0.951559,35.0636,pipeline_4,low,1K
00001_1K_low_pipeline_5.png,0.958214,35.1603,pipeline_5,low,1K
00001_1K_low_pipeline_6.png,0.94813,34.8712,pipeline_6,low,1K
00001_1K_medium_pipeline_1.png,0.978052,41.7566,pipeline_1,medium,1K
00001_1K_medium_pipeline_2.png,0.955999,33.9712,pipeline_2,medium,1K
00001_1K_medium_pipeline_3.png,0.983057,41.9539,pipeline_3,medium,1K
00001_1K_medium_pipeline_4.png,0.955269,35.4642,pipeline_4,medium,1K
00001_1K_medium_pipeline_5.png,0.984126,40.1601,pipeline_5,medium,1K
00001_1K_medium_pipeline_6.png,0.977368,41.5442,pipeline_6,medium,1K
00001_SD_high_pipeline_1.png,0.985838,43.6659,pipeline_1,high,SD
00001_SD_high_pipeline_2.png,0.96186,34.5405,pipeline_2,high,SD
